"","Sample","strain","replication","substrate","concentration","hour","values","substrate_groups","temperature"
"38118","598/24","G322/23","1","Cisplatin",2,48,0.433,"nitrogen compounds","30"
"38119","600/24","G322/23","3","Cisplatin",2,48,0.175,"nitrogen compounds","30"
"38120","600/24","G322/23","3","Cisplatin",2,24,0.14,"nitrogen compounds","30"
"38121","613/24","G323/23","1","Cisplatin",2,72,0.224,"nitrogen compounds","30"
"38122","583/24","G321/23","1","Cisplatin",2,0,0.102,"nitrogen compounds","30"
"38123","614/24","G323/23","2","Cisplatin",2,96,0.138,"nitrogen compounds","30"
"38124","599/24","G322/23","2","Cisplatin",2,24,0.157,"nitrogen compounds","30"
"38125","585/24","G321/23","3","Cisplatin",2,48,0.191,"nitrogen compounds","30"
"38126","615/24","G323/23","3","Cisplatin",2,72,0.229,"nitrogen compounds","30"
"38127","599/24","G322/23","2","Cisplatin",2,0,0.094,"nitrogen compounds","30"
"38128","615/24","G323/23","3","Cisplatin",2,24,0.198,"nitrogen compounds","30"
"38129","598/24","G322/23","1","Cisplatin",2,96,0.586,"nitrogen compounds","30"
"38130","584/24","G321/23","2","Cisplatin",2,72,0.176,"nitrogen compounds","30"
"38131","614/24","G323/23","2","Cisplatin",2,72,0.144,"nitrogen compounds","30"
"38132","600/24","G322/23","3","Cisplatin",2,0,0.094,"nitrogen compounds","30"
"38133","585/24","G321/23","3","Cisplatin",2,0,0.1,"nitrogen compounds","30"
"38134","613/24","G323/23","1","Cisplatin",2,48,0.201,"nitrogen compounds","30"
"38135","585/24","G321/23","3","Cisplatin",2,24,0.161,"nitrogen compounds","30"
"38136","615/24","G323/23","3","Cisplatin",2,48,0.25,"nitrogen compounds","30"
"38137","598/24","G322/23","1","Cisplatin",2,0,0.096,"nitrogen compounds","30"
"38138","583/24","G321/23","1","Cisplatin",2,96,0.368,"nitrogen compounds","30"
"38139","598/24","G322/23","1","Cisplatin",2,72,0.493,"nitrogen compounds","30"
"38140","583/24","G321/23","1","Cisplatin",2,48,0.25,"nitrogen compounds","30"
"38141","584/24","G321/23","2","Cisplatin",2,48,0.215,"nitrogen compounds","30"
"38142","600/24","G322/23","3","Cisplatin",2,96,0.124,"nitrogen compounds","30"
"38143","615/24","G323/23","3","Cisplatin",2,0,0.097,"nitrogen compounds","30"
"38144","585/24","G321/23","3","Cisplatin",2,96,0.232,"nitrogen compounds","30"
"38145","584/24","G321/23","2","Cisplatin",2,24,0.179,"nitrogen compounds","30"
"38146","599/24","G322/23","2","Cisplatin",2,48,0.129,"nitrogen compounds","30"
"38147","584/24","G321/23","2","Cisplatin",2,96,0.299,"nitrogen compounds","30"
"38148","599/24","G322/23","2","Cisplatin",2,72,0.207,"nitrogen compounds","30"
"38149","614/24","G323/23","2","Cisplatin",2,0,0.098,"nitrogen compounds","30"
"38150","613/24","G323/23","1","Cisplatin",2,0,0.108,"nitrogen compounds","30"
"38151","614/24","G323/23","2","Cisplatin",2,24,0.134,"nitrogen compounds","30"
"38152","585/24","G321/23","3","Cisplatin",2,72,0.152,"nitrogen compounds","30"
"38153","583/24","G321/23","1","Cisplatin",2,24,0.29,"nitrogen compounds","30"
"38154","615/24","G323/23","3","Cisplatin",2,96,0.179,"nitrogen compounds","30"
"38155","598/24","G322/23","1","Cisplatin",2,24,0.369,"nitrogen compounds","30"
"38156","584/24","G321/23","2","Cisplatin",2,0,0.096,"nitrogen compounds","30"
"38157","613/24","G323/23","1","Cisplatin",2,24,0.274,"nitrogen compounds","30"
"38158","583/24","G321/23","1","Cisplatin",2,72,0.357,"nitrogen compounds","30"
"38159","614/24","G323/23","2","Cisplatin",2,48,0.188,"nitrogen compounds","30"
"38160","613/24","G323/23","1","Cisplatin",2,96,0.135,"nitrogen compounds","30"
"38161","600/24","G322/23","3","Cisplatin",2,72,0.166,"nitrogen compounds","30"
"38162","599/24","G322/23","2","Cisplatin",2,96,0.223,"nitrogen compounds","30"
"38163","587/24","G321/23","2","5-Fluorocytosine",2,48,0.223,"antimicrobial","30"
"38164","618/24","G323/23","3","5-Fluorocytosine",2,0,0.144,"antimicrobial","30"
"38165","601/24","G322/23","1","5-Fluorocytosine",2,72,0.83,"antimicrobial","30"
"38166","616/24","G323/23","1","5-Fluorocytosine",2,96,0.896,"antimicrobial","30"
"38167","588/24","G321/23","3","5-Fluorocytosine",2,96,0.199,"antimicrobial","30"
"38168","616/24","G323/23","1","5-Fluorocytosine",2,24,0.117,"antimicrobial","30"
"38169","586/24","G321/23","1","5-Fluorocytosine",2,0,0.108,"antimicrobial","30"
"38170","588/24","G321/23","3","5-Fluorocytosine",2,24,0.132,"antimicrobial","30"
"38171","602/24","G322/23","2","5-Fluorocytosine",2,72,0.736,"antimicrobial","30"
"38172","601/24","G322/23","1","5-Fluorocytosine",2,48,0.322,"antimicrobial","30"
"38173","617/24","G323/23","2","5-Fluorocytosine",2,96,1.041,"antimicrobial","30"
"38174","617/24","G323/23","2","5-Fluorocytosine",2,48,0.193,"antimicrobial","30"
"38175","588/24","G321/23","3","5-Fluorocytosine",2,72,0.171,"antimicrobial","30"
"38176","618/24","G323/23","3","5-Fluorocytosine",2,96,1.294,"antimicrobial","30"
"38177","617/24","G323/23","2","5-Fluorocytosine",2,0,0.097,"antimicrobial","30"
"38178","603/24","G322/23","3","5-Fluorocytosine",2,96,1.293,"antimicrobial","30"
"38179","618/24","G323/23","3","5-Fluorocytosine",2,48,0.335,"antimicrobial","30"
"38180","616/24","G323/23","1","5-Fluorocytosine",2,0,0.103,"antimicrobial","30"
"38181","588/24","G321/23","3","5-Fluorocytosine",2,0,0.094,"antimicrobial","30"
"38182","618/24","G323/23","3","5-Fluorocytosine",2,48,0.304,"antimicrobial","30"
"38183","587/24","G321/23","2","5-Fluorocytosine",2,72,0.383,"antimicrobial","30"
"38184","603/24","G322/23","3","5-Fluorocytosine",2,0,0.096,"antimicrobial","30"
"38185","617/24","G323/23","2","5-Fluorocytosine",2,24,0.154,"antimicrobial","30"
"38186","587/24","G321/23","2","5-Fluorocytosine",2,0,0.096,"antimicrobial","30"
"38187","617/24","G323/23","2","5-Fluorocytosine",2,72,0.425,"antimicrobial","30"
"38188","618/24","G323/23","3","5-Fluorocytosine",2,24,0.232,"antimicrobial","30"
"38189","586/24","G321/23","1","5-Fluorocytosine",2,72,0.212,"antimicrobial","30"
"38190","601/24","G322/23","1","5-Fluorocytosine",2,96,1.479,"antimicrobial","30"
"38191","586/24","G321/23","1","5-Fluorocytosine",2,48,0.147,"antimicrobial","30"
"38192","603/24","G322/23","3","5-Fluorocytosine",2,72,0.745,"antimicrobial","30"
"38193","616/24","G323/23","1","5-Fluorocytosine",2,72,0.37,"antimicrobial","30"
"38194","601/24","G322/23","1","5-Fluorocytosine",2,0,0.096,"antimicrobial","30"
"38195","603/24","G322/23","3","5-Fluorocytosine",2,48,0.317,"antimicrobial","30"
"38196","603/24","G322/23","3","5-Fluorocytosine",2,24,0.148,"antimicrobial","30"
"38197","602/24","G322/23","2","5-Fluorocytosine",2,0,0.095,"antimicrobial","30"
"38198","586/24","G321/23","1","5-Fluorocytosine",2,96,0.584,"antimicrobial","30"
"38199","587/24","G321/23","2","5-Fluorocytosine",2,24,0.151,"antimicrobial","30"
"38200","602/24","G322/23","2","5-Fluorocytosine",2,48,0.326,"antimicrobial","30"
"38201","587/24","G321/23","2","5-Fluorocytosine",2,96,0.727,"antimicrobial","30"
"38202","618/24","G323/23","3","5-Fluorocytosine",2,72,0.539,"antimicrobial","30"
"38203","586/24","G321/23","1","5-Fluorocytosine",2,24,0.11,"antimicrobial","30"
"38204","602/24","G322/23","2","5-Fluorocytosine",2,96,1.375,"antimicrobial","30"
"38205","602/24","G322/23","2","5-Fluorocytosine",2,24,0.128,"antimicrobial","30"
"38206","616/24","G323/23","1","5-Fluorocytosine",2,48,0.17,"antimicrobial","30"
"38207","588/24","G321/23","3","5-Fluorocytosine",2,48,0.124,"antimicrobial","30"
"38208","601/24","G322/23","1","5-Fluorocytosine",2,24,0.147,"antimicrobial","30"
"38209","576/24","G321/23","3","Sodium Selenite",3,96,0.217,"salts","30"
"38210","589/24","G322/23","1","Sodium Selenite",3,72,0.727,"salts","30"
"38211","605/24","G323/23","2","Sodium Selenite",3,24,0.196,"salts","30"
"38212","575/24","G321/23","2","Sodium Selenite",3,0,0.109,"salts","30"
"38213","604/24","G323/23","1","Sodium Selenite",3,48,0.248,"salts","30"
"38214","576/24","G321/23","3","Sodium Selenite",3,72,0.24,"salts","30"
"38215","606/24","G323/23","3","Sodium Selenite",3,0,0.102,"salts","30"
"38216","605/24","G323/23","2","Sodium Selenite",3,0,0.098,"salts","30"
"38217","591/24","G322/23","3","Sodium Selenite",3,96,0.739,"salts","30"
"38218","590/24","G322/23","2","Sodium Selenite",3,72,1.221,"salts","30"
"38219","591/24","G322/23","3","Sodium Selenite",3,72,0.748,"salts","30"
"38220","589/24","G322/23","1","Sodium Selenite",3,48,0.311,"salts","30"
"38221","590/24","G322/23","2","Sodium Selenite",3,0,0.094,"salts","30"
"38222","576/24","G321/23","3","Sodium Selenite",3,48,0.183,"salts","30"
"38223","590/24","G322/23","2","Sodium Selenite",3,96,1.578,"salts","30"
"38224","591/24","G322/23","3","Sodium Selenite",3,0,0.094,"salts","30"
"38225","576/24","G321/23","3","Sodium Selenite",3,0,0.091,"salts","30"
"38226","606/24","G323/23","3","Sodium Selenite",3,96,0.599,"salts","30"
"38227","575/24","G321/23","2","Sodium Selenite",3,72,0.197,"salts","30"
"38228","604/24","G323/23","1","Sodium Selenite",3,0,0.1,"salts","30"
"38229","574/24","G321/23","1","Sodium Selenite",3,96,0.414,"salts","30"
"38230","605/24","G323/23","2","Sodium Selenite",3,96,1.546,"salts","30"
"38231","591/24","G322/23","3","Sodium Selenite",3,24,0.182,"salts","30"
"38232","589/24","G322/23","1","Sodium Selenite",3,96,0.843,"salts","30"
"38233","606/24","G323/23","3","Sodium Selenite",3,72,0.301,"salts","30"
"38234","576/24","G321/23","3","Sodium Selenite",3,24,0.148,"salts","30"
"38235","589/24","G322/23","1","Sodium Selenite",3,0,0.097,"salts","30"
"38236","574/24","G321/23","1","Sodium Selenite",3,24,0.178,"salts","30"
"38237","606/24","G323/23","3","Sodium Selenite",3,72,0.37,"salts","30"
"38238","604/24","G323/23","1","Sodium Selenite",3,72,0.53,"salts","30"
"38239","604/24","G323/23","1","Sodium Selenite",3,24,0.149,"salts","30"
"38240","574/24","G321/23","1","Sodium Selenite",3,48,0.153,"salts","30"
"38241","606/24","G323/23","3","Sodium Selenite",3,24,0.253,"salts","30"
"38242","590/24","G322/23","2","Sodium Selenite",3,24,0.154,"salts","30"
"38243","604/24","G323/23","1","Sodium Selenite",3,96,1.062,"salts","30"
"38244","606/24","G323/23","3","Sodium Selenite",3,48,0.271,"salts","30"
"38245","605/24","G323/23","2","Sodium Selenite",3,48,0.597,"salts","30"
"38246","591/24","G322/23","3","Sodium Selenite",3,48,0.345,"salts","30"
"38247","605/24","G323/23","2","Sodium Selenite",3,72,1.344,"salts","30"
"38248","589/24","G322/23","1","Sodium Selenite",3,24,0.222,"salts","30"
"38249","574/24","G321/23","1","Sodium Selenite",3,0,0.093,"salts","30"
"38250","574/24","G321/23","1","Sodium Selenite",3,72,0.138,"salts","30"
"38251","575/24","G321/23","2","Sodium Selenite",3,96,0.196,"salts","30"
"38252","590/24","G322/23","2","Sodium Selenite",3,48,0.42,"salts","30"
"38253","575/24","G321/23","2","Sodium Selenite",3,24,0.21,"salts","30"
"38254","575/24","G321/23","2","Sodium Selenite",3,48,0.194,"salts","30"
"38255","594/24","G322/23","3","Benzamidine",3,24,0.27,"salts","30"
"38256","594/24","G322/23","3","Benzamidine",3,72,0.278,"salts","30"
"38257","593/24","G322/23","2","Benzamidine",3,96,0.128,"salts","30"
"38258","579/24","G321/23","3","Benzamidine",3,72,0.235,"salts","30"
"38259","608/24","G323/23","2","Benzamidine",3,96,0.627,"salts","30"
"38260","593/24","G322/23","2","Benzamidine",3,48,0.186,"salts","30"
"38261","594/24","G322/23","3","Benzamidine",3,0,0.103,"salts","30"
"38262","608/24","G323/23","2","Benzamidine",3,72,0.703,"salts","30"
"38263","607/24","G323/23","1","Benzamidine",3,24,0.538,"salts","30"
"38264","607/24","G323/23","1","Benzamidine",3,72,0.629,"salts","30"
"38265","593/24","G322/23","2","Benzamidine",3,72,0.17,"salts","30"
"38266","579/24","G321/23","3","Benzamidine",3,48,0.176,"salts","30"
"38267","594/24","G322/23","3","Benzamidine",3,48,0.325,"salts","30"
"38268","607/24","G323/23","1","Benzamidine",3,0,0.112,"salts","30"
"38269","608/24","G323/23","2","Benzamidine",3,24,0.48,"salts","30"
"38270","578/24","G321/23","2","Benzamidine",3,48,0.128,"salts","30"
"38271","592/24","G322/23","1","Benzamidine",3,48,0.495,"salts","30"
"38272","579/24","G321/23","3","Benzamidine",3,0,0.102,"salts","30"
"38273","592/24","G322/23","1","Benzamidine",3,72,0.505,"salts","30"
"38274","608/24","G323/23","2","Benzamidine",3,0,0.108,"salts","30"
"38275","578/24","G321/23","2","Benzamidine",3,24,0.134,"salts","30"
"38276","579/24","G321/23","3","Benzamidine",3,24,0.195,"salts","30"
"38277","593/24","G322/23","2","Benzamidine",3,0,0.099,"salts","30"
"38278","609/24","G323/23","3","Benzamidine",3,48,0.411,"salts","30"
"38279","609/24","G323/23","3","Benzamidine",3,72,0.542,"salts","30"
"38280","609/24","G323/23","3","Benzamidine",3,0,0.11,"salts","30"
"38281","578/24","G321/23","2","Benzamidine",3,72,0.191,"salts","30"
"38282","577/24","G321/23","1","Benzamidine",3,72,0.242,"salts","30"
"38283","578/24","G321/23","2","Benzamidine",3,96,0.237,"salts","30"
"38284","577/24","G321/23","1","Benzamidine",3,96,0.221,"salts","30"
"38285","592/24","G322/23","1","Benzamidine",3,24,0.429,"salts","30"
"38286","592/24","G322/23","1","Benzamidine",3,96,0.575,"salts","30"
"38287","577/24","G321/23","1","Benzamidine",3,48,0.194,"salts","30"
"38288","607/24","G323/23","1","Benzamidine",3,96,0.533,"salts","30"
"38289","607/24","G323/23","1","Benzamidine",3,48,0.562,"salts","30"
"38290","594/24","G322/23","3","Benzamidine",3,96,0.414,"salts","30"
"38291","593/24","G322/23","2","Benzamidine",3,24,0.192,"salts","30"
"38292","577/24","G321/23","1","Benzamidine",3,24,0.185,"salts","30"
"38293","577/24","G321/23","1","Benzamidine",3,0,0.103,"salts","30"
"38294","578/24","G321/23","2","Benzamidine",3,0,0.105,"salts","30"
"38295","609/24","G323/23","3","Benzamidine",3,24,0.402,"salts","30"
"38296","609/24","G323/23","3","Benzamidine",3,96,0.345,"salts","30"
"38297","579/24","G321/23","3","Benzamidine",3,96,0.26,"salts","30"
"38298","592/24","G322/23","1","Benzamidine",3,0,0.102,"salts","30"
"38299","608/24","G323/23","2","Benzamidine",3,48,0.544,"salts","30"
"38300","581/24","G321/23","2","Sodium Nitrite",3,24,0.191,"nitrogen compounds","30"
"38301","610/24","G323/23","1","Sodium Nitrite",3,24,0.302,"nitrogen compounds","30"
"38302","595/24","G322/23","1","Sodium Nitrite",3,48,0.265,"nitrogen compounds","30"
"38303","580/24","G321/23","1","Sodium Nitrite",3,72,0.15,"nitrogen compounds","30"
"38304","581/24","G321/23","2","Sodium Nitrite",3,72,0.19,"nitrogen compounds","30"
"38305","610/24","G323/23","1","Sodium Nitrite",3,96,0.56,"nitrogen compounds","30"
"38306","582/24","G321/23","3","Sodium Nitrite",3,96,0.241,"nitrogen compounds","30"
"38307","611/24","G323/23","2","Sodium Nitrite",3,0,0.1,"nitrogen compounds","30"
"38308","596/24","G322/23","2","Sodium Nitrite",3,72,0.273,"nitrogen compounds","30"
"38309","580/24","G321/23","1","Sodium Nitrite",3,96,0.317,"nitrogen compounds","30"
"38310","580/24","G321/23","1","Sodium Nitrite",3,0,0.096,"nitrogen compounds","30"
"38311","610/24","G323/23","1","Sodium Nitrite",3,72,0.401,"nitrogen compounds","30"
"38312","612/24","G323/23","3","Sodium Nitrite",3,0,0.106,"nitrogen compounds","30"
"38313","612/24","G323/23","3","Sodium Nitrite",3,24,0.331,"nitrogen compounds","30"
"38314","582/24","G321/23","3","Sodium Nitrite",3,0,0.093,"nitrogen compounds","30"
"38315","612/24","G323/23","3","Sodium Nitrite",3,72,0.435,"nitrogen compounds","30"
"38316","595/24","G322/23","1","Sodium Nitrite",3,0,0.095,"nitrogen compounds","30"
"38317","612/24","G323/23","3","Sodium Nitrite",3,96,0.352,"nitrogen compounds","30"
"38318","611/24","G323/23","2","Sodium Nitrite",3,72,0.315,"nitrogen compounds","30"
"38319","580/24","G321/23","1","Sodium Nitrite",3,0,0.095,"nitrogen compounds","30"
"38320","582/24","G321/23","3","Sodium Nitrite",3,24,0.133,"nitrogen compounds","30"
"38321","595/24","G322/23","1","Sodium Nitrite",3,72,0.285,"nitrogen compounds","30"
"38322","595/24","G322/23","1","Sodium Nitrite",3,96,0.552,"nitrogen compounds","30"
"38323","611/24","G323/23","2","Sodium Nitrite",3,96,0.275,"nitrogen compounds","30"
"38324","597/24","G322/23","3","Sodium Nitrite",3,96,0.367,"nitrogen compounds","30"
"38325","610/24","G323/23","1","Sodium Nitrite",3,0,0.103,"nitrogen compounds","30"
"38326","596/24","G322/23","2","Sodium Nitrite",3,48,0.147,"nitrogen compounds","30"
"38327","597/24","G322/23","3","Sodium Nitrite",3,0,0.1,"nitrogen compounds","30"
"38328","612/24","G323/23","3","Sodium Nitrite",3,48,0.377,"nitrogen compounds","30"
"38329","596/24","G322/23","2","Sodium Nitrite",3,24,0.132,"nitrogen compounds","30"
"38330","582/24","G321/23","3","Sodium Nitrite",3,48,0.136,"nitrogen compounds","30"
"38331","596/24","G322/23","2","Sodium Nitrite",3,0,0.095,"nitrogen compounds","30"
"38332","582/24","G321/23","3","Sodium Nitrite",3,72,0.208,"nitrogen compounds","30"
"38333","610/24","G323/23","1","Sodium Nitrite",3,48,0.314,"nitrogen compounds","30"
"38334","595/24","G322/23","1","Sodium Nitrite",3,24,0.207,"nitrogen compounds","30"
"38335","597/24","G322/23","3","Sodium Nitrite",3,24,0.398,"nitrogen compounds","30"
"38336","581/24","G321/23","2","Sodium Nitrite",3,96,0.313,"nitrogen compounds","30"
"38337","581/24","G321/23","2","Sodium Nitrite",3,0,0.096,"nitrogen compounds","30"
"38338","597/24","G322/23","3","Sodium Nitrite",3,72,0.41,"nitrogen compounds","30"
"38339","611/24","G323/23","2","Sodium Nitrite",3,24,0.297,"nitrogen compounds","30"
"38340","580/24","G321/23","1","Sodium Nitrite",3,24,0.152,"nitrogen compounds","30"
"38341","580/24","G321/23","1","Sodium Nitrite",3,48,0.181,"nitrogen compounds","30"
"38342","597/24","G322/23","3","Sodium Nitrite",3,48,0.417,"nitrogen compounds","30"
"38343","596/24","G322/23","2","Sodium Nitrite",3,96,0.808,"nitrogen compounds","30"
"38344","611/24","G323/23","2","Sodium Nitrite",3,48,0.248,"nitrogen compounds","30"
"38345","581/24","G321/23","2","Sodium Nitrite",3,48,0.201,"nitrogen compounds","30"
"38346","614/24","G323/23","2","Cisplatin",3,0,0.1,"nitrogen compounds","30"
"38347","583/24","G321/23","1","Cisplatin",3,0,0.093,"nitrogen compounds","30"
"38348","615/24","G323/23","3","Cisplatin",3,72,0.201,"nitrogen compounds","30"
"38349","613/24","G323/23","1","Cisplatin",3,48,0.201,"nitrogen compounds","30"
"38350","598/24","G322/23","1","Cisplatin",3,24,0.131,"nitrogen compounds","30"
"38351","584/24","G321/23","2","Cisplatin",3,0,0.096,"nitrogen compounds","30"
"38352","585/24","G321/23","3","Cisplatin",3,24,0.25,"nitrogen compounds","30"
"38353","615/24","G323/23","3","Cisplatin",3,24,0.207,"nitrogen compounds","30"
"38354","583/24","G321/23","1","Cisplatin",3,96,0.271,"nitrogen compounds","30"
"38355","583/24","G321/23","1","Cisplatin",3,24,0.201,"nitrogen compounds","30"
"38356","600/24","G322/23","3","Cisplatin",3,72,0.147,"nitrogen compounds","30"
"38357","599/24","G322/23","2","Cisplatin",3,0,0.094,"nitrogen compounds","30"
"38358","614/24","G323/23","2","Cisplatin",3,72,0.204,"nitrogen compounds","30"
"38359","615/24","G323/23","3","Cisplatin",3,48,0.238,"nitrogen compounds","30"
"38360","613/24","G323/23","1","Cisplatin",3,0,0.099,"nitrogen compounds","30"
"38361","613/24","G323/23","1","Cisplatin",3,96,0.146,"nitrogen compounds","30"
"38362","600/24","G322/23","3","Cisplatin",3,48,0.157,"nitrogen compounds","30"
"38363","599/24","G322/23","2","Cisplatin",3,24,0.164,"nitrogen compounds","30"
"38364","585/24","G321/23","3","Cisplatin",3,72,0.24,"nitrogen compounds","30"
"38365","598/24","G322/23","1","Cisplatin",3,48,0.136,"nitrogen compounds","30"
"38366","615/24","G323/23","3","Cisplatin",3,96,0.143,"nitrogen compounds","30"
"38367","584/24","G321/23","2","Cisplatin",3,96,0.359,"nitrogen compounds","30"
"38368","585/24","G321/23","3","Cisplatin",3,48,0.275,"nitrogen compounds","30"
"38369","598/24","G322/23","1","Cisplatin",3,72,0.198,"nitrogen compounds","30"
"38370","584/24","G321/23","2","Cisplatin",3,72,0.194,"nitrogen compounds","30"
"38371","598/24","G322/23","1","Cisplatin",3,0,0.095,"nitrogen compounds","30"
"38372","613/24","G323/23","1","Cisplatin",3,24,0.229,"nitrogen compounds","30"
"38373","600/24","G322/23","3","Cisplatin",3,24,0.141,"nitrogen compounds","30"
"38374","585/24","G321/23","3","Cisplatin",3,0,0.127,"nitrogen compounds","30"
"38375","614/24","G323/23","2","Cisplatin",3,96,0.215,"nitrogen compounds","30"
"38376","583/24","G321/23","1","Cisplatin",3,48,0.164,"nitrogen compounds","30"
"38377","599/24","G322/23","2","Cisplatin",3,72,0.216,"nitrogen compounds","30"
"38378","584/24","G321/23","2","Cisplatin",3,24,0.194,"nitrogen compounds","30"
"38379","614/24","G323/23","2","Cisplatin",3,24,0.191,"nitrogen compounds","30"
"38380","599/24","G322/23","2","Cisplatin",3,48,0.138,"nitrogen compounds","30"
"38381","614/24","G323/23","2","Cisplatin",3,48,0.245,"nitrogen compounds","30"
"38382","615/24","G323/23","3","Cisplatin",3,0,0.102,"nitrogen compounds","30"
"38383","613/24","G323/23","1","Cisplatin",3,72,0.233,"nitrogen compounds","30"
"38384","598/24","G322/23","1","Cisplatin",3,96,0.325,"nitrogen compounds","30"
"38385","600/24","G322/23","3","Cisplatin",3,0,0.097,"nitrogen compounds","30"
"38386","600/24","G322/23","3","Cisplatin",3,96,0.121,"nitrogen compounds","30"
"38387","584/24","G321/23","2","Cisplatin",3,48,0.247,"nitrogen compounds","30"
"38388","583/24","G321/23","1","Cisplatin",3,72,0.256,"nitrogen compounds","30"
"38389","585/24","G321/23","3","Cisplatin",3,96,0.333,"nitrogen compounds","30"
"38390","599/24","G322/23","2","Cisplatin",3,96,0.241,"nitrogen compounds","30"
"38391","618/24","G323/23","3","5-Fluorocytosine",3,48,0.282,"antimicrobial","30"
"38392","617/24","G323/23","2","5-Fluorocytosine",3,24,0.221,"antimicrobial","30"
"38393","601/24","G322/23","1","5-Fluorocytosine",3,0,0.096,"antimicrobial","30"
"38394","601/24","G322/23","1","5-Fluorocytosine",3,96,1.154,"antimicrobial","30"
"38395","616/24","G323/23","1","5-Fluorocytosine",3,24,0.124,"antimicrobial","30"
"38396","603/24","G322/23","3","5-Fluorocytosine",3,0,0.094,"antimicrobial","30"
"38397","586/24","G321/23","1","5-Fluorocytosine",3,24,0.192,"antimicrobial","30"
"38398","616/24","G323/23","1","5-Fluorocytosine",3,96,0.253,"antimicrobial","30"
"38399","603/24","G322/23","3","5-Fluorocytosine",3,48,0.298,"antimicrobial","30"
"38400","616/24","G323/23","1","5-Fluorocytosine",3,0,0.101,"antimicrobial","30"
"38401","603/24","G322/23","3","5-Fluorocytosine",3,96,1.055,"antimicrobial","30"
"38402","586/24","G321/23","1","5-Fluorocytosine",3,48,0.216,"antimicrobial","30"
"38403","601/24","G322/23","1","5-Fluorocytosine",3,48,0.242,"antimicrobial","30"
"38404","601/24","G322/23","1","5-Fluorocytosine",3,72,0.477,"antimicrobial","30"
"38405","601/24","G322/23","1","5-Fluorocytosine",3,24,0.15,"antimicrobial","30"
"38406","588/24","G321/23","3","5-Fluorocytosine",3,96,0.298,"antimicrobial","30"
"38407","617/24","G323/23","2","5-Fluorocytosine",3,96,0.559,"antimicrobial","30"
"38408","588/24","G321/23","3","5-Fluorocytosine",3,0,0.094,"antimicrobial","30"
"38409","586/24","G321/23","1","5-Fluorocytosine",3,0,0.117,"antimicrobial","30"
"38410","587/24","G321/23","2","5-Fluorocytosine",3,72,0.467,"antimicrobial","30"
"38411","618/24","G323/23","3","5-Fluorocytosine",3,24,0.18,"antimicrobial","30"
"38412","602/24","G322/23","2","5-Fluorocytosine",3,0,0.093,"antimicrobial","30"
"38413","587/24","G321/23","2","5-Fluorocytosine",3,0,0.095,"antimicrobial","30"
"38414","602/24","G322/23","2","5-Fluorocytosine",3,96,1.076,"antimicrobial","30"
"38415","587/24","G321/23","2","5-Fluorocytosine",3,24,0.427,"antimicrobial","30"
"38416","603/24","G322/23","3","5-Fluorocytosine",3,24,0.208,"antimicrobial","30"
"38417","587/24","G321/23","2","5-Fluorocytosine",3,96,0.513,"antimicrobial","30"
"38418","617/24","G323/23","2","5-Fluorocytosine",3,48,0.271,"antimicrobial","30"
"38419","618/24","G323/23","3","5-Fluorocytosine",3,96,0.33,"antimicrobial","30"
"38420","617/24","G323/23","2","5-Fluorocytosine",3,0,0.102,"antimicrobial","30"
"38421","617/24","G323/23","2","5-Fluorocytosine",3,72,0.334,"antimicrobial","30"
"38422","616/24","G323/23","1","5-Fluorocytosine",3,72,0.177,"antimicrobial","30"
"38423","602/24","G322/23","2","5-Fluorocytosine",3,24,0.286,"antimicrobial","30"
"38424","618/24","G323/23","3","5-Fluorocytosine",3,0,0.095,"antimicrobial","30"
"38425","586/24","G321/23","1","5-Fluorocytosine",3,72,0.152,"antimicrobial","30"
"38426","603/24","G322/23","3","5-Fluorocytosine",3,72,0.515,"antimicrobial","30"
"38427","618/24","G323/23","3","5-Fluorocytosine",3,48,0.245,"antimicrobial","30"
"38428","618/24","G323/23","3","5-Fluorocytosine",3,72,0.29,"antimicrobial","30"
"38429","602/24","G322/23","2","5-Fluorocytosine",3,48,0.322,"antimicrobial","30"
"38430","588/24","G321/23","3","5-Fluorocytosine",3,48,0.122,"antimicrobial","30"
"38431","588/24","G321/23","3","5-Fluorocytosine",3,72,0.19,"antimicrobial","30"
"38432","588/24","G321/23","3","5-Fluorocytosine",3,24,0.14,"antimicrobial","30"
"38433","587/24","G321/23","2","5-Fluorocytosine",3,48,0.496,"antimicrobial","30"
"38434","586/24","G321/23","1","5-Fluorocytosine",3,96,0.244,"antimicrobial","30"
"38435","602/24","G322/23","2","5-Fluorocytosine",3,72,0.431,"antimicrobial","30"
"38436","616/24","G323/23","1","5-Fluorocytosine",3,48,0.174,"antimicrobial","30"
"38437","575/24","G321/23","2","Sodium Selenite",4,96,0.259,"salts","30"
"38438","591/24","G322/23","3","Sodium Selenite",4,48,0.168,"salts","30"
"38439","576/24","G321/23","3","Sodium Selenite",4,96,0.192,"salts","30"
"38440","576/24","G321/23","3","Sodium Selenite",4,0,0.092,"salts","30"
"38441","574/24","G321/23","1","Sodium Selenite",4,0,0.095,"salts","30"
"38442","590/24","G322/23","2","Sodium Selenite",4,24,0.195,"salts","30"
"38443","590/24","G322/23","2","Sodium Selenite",4,0,0.101,"salts","30"
"38444","591/24","G322/23","3","Sodium Selenite",4,72,0.267,"salts","30"
"38445","575/24","G321/23","2","Sodium Selenite",4,24,0.277,"salts","30"
