"","Sample","strain","replication","substrate","concentration","hour","values","substrate_groups","temperature"
"25817","600/24","G322/23","3","Chlortetracycline",1,72,1.446,"antibiotics","30"
"25818","585/24","G321/23","3","Chlortetracycline",1,0,0.113,"antibiotics","30"
"25819","613/24","G323/23","1","Chlortetracycline",1,72,0.226,"antibiotics","30"
"25820","584/24","G321/23","2","Chlortetracycline",1,72,0.17,"antibiotics","30"
"25821","615/24","G323/23","3","Chlortetracycline",1,72,1.144,"antibiotics","30"
"25822","583/24","G321/23","1","Chlortetracycline",1,48,0.278,"antibiotics","30"
"25823","600/24","G322/23","3","Chlortetracycline",1,24,0.15,"antibiotics","30"
"25824","600/24","G322/23","3","Chlortetracycline",1,96,1.45,"antibiotics","30"
"25825","614/24","G323/23","2","Chlortetracycline",1,96,0.126,"antibiotics","30"
"25826","585/24","G321/23","3","Chlortetracycline",1,48,0.412,"antibiotics","30"
"25827","599/24","G322/23","2","Chlortetracycline",1,0,0.1,"antibiotics","30"
"25828","614/24","G323/23","2","Chlortetracycline",1,48,0.14,"antibiotics","30"
"25829","614/24","G323/23","2","Chlortetracycline",1,72,0.136,"antibiotics","30"
"25830","585/24","G321/23","3","Chlortetracycline",1,96,0.416,"antibiotics","30"
"25831","600/24","G322/23","3","Chlortetracycline",1,0,0.103,"antibiotics","30"
"25832","598/24","G322/23","1","Chlortetracycline",1,72,1.372,"antibiotics","30"
"25833","615/24","G323/23","3","Chlortetracycline",1,96,1.518,"antibiotics","30"
"25834","599/24","G322/23","2","Chlortetracycline",1,24,0.356,"antibiotics","30"
"25835","583/24","G321/23","1","Chlortetracycline",1,0,0.104,"antibiotics","30"
"25836","615/24","G323/23","3","Chlortetracycline",1,24,0.161,"antibiotics","30"
"25837","584/24","G321/23","2","Chlortetracycline",1,24,0.164,"antibiotics","30"
"25838","583/24","G321/23","1","Chlortetracycline",1,24,0.155,"antibiotics","30"
"25839","584/24","G321/23","2","Chlortetracycline",1,0,0.102,"antibiotics","30"
"25840","600/24","G322/23","3","Chlortetracycline",1,48,0.937,"antibiotics","30"
"25841","615/24","G323/23","3","Chlortetracycline",1,0,0.11,"antibiotics","30"
"25842","599/24","G322/23","2","Chlortetracycline",1,48,0.913,"antibiotics","30"
"25843","614/24","G323/23","2","Chlortetracycline",1,24,0.131,"antibiotics","30"
"25844","615/24","G323/23","3","Chlortetracycline",1,48,0.202,"antibiotics","30"
"25845","598/24","G322/23","1","Chlortetracycline",1,0,0.096,"antibiotics","30"
"25846","584/24","G321/23","2","Chlortetracycline",1,96,0.202,"antibiotics","30"
"25847","598/24","G322/23","1","Chlortetracycline",1,24,0.132,"antibiotics","30"
"25848","598/24","G322/23","1","Chlortetracycline",1,48,0.318,"antibiotics","30"
"25849","598/24","G322/23","1","Chlortetracycline",1,96,1.551,"antibiotics","30"
"25850","584/24","G321/23","2","Chlortetracycline",1,48,0.18,"antibiotics","30"
"25851","601/24","G322/23","1","4-Aminopyridine",1,96,1.522,"nitrogen compounds","30"
"25852","616/24","G323/23","1","4-Aminopyridine",1,96,0.125,"nitrogen compounds","30"
"25853","603/24","G322/23","3","4-Aminopyridine",1,72,1.471,"nitrogen compounds","30"
"25854","601/24","G322/23","1","4-Aminopyridine",1,24,0.179,"nitrogen compounds","30"
"25855","617/24","G323/23","2","4-Aminopyridine",1,48,0.335,"nitrogen compounds","30"
"25856","586/24","G321/23","1","4-Aminopyridine",1,96,0.272,"nitrogen compounds","30"
"25857","588/24","G321/23","3","4-Aminopyridine",1,48,0.127,"nitrogen compounds","30"
"25858","616/24","G323/23","1","4-Aminopyridine",1,72,0.137,"nitrogen compounds","30"
"25859","618/24","G323/23","3","4-Aminopyridine",1,48,0.223,"nitrogen compounds","30"
"25860","602/24","G322/23","2","4-Aminopyridine",1,24,0.14,"nitrogen compounds","30"
"25861","617/24","G323/23","2","4-Aminopyridine",1,96,1.501,"nitrogen compounds","30"
"25862","586/24","G321/23","1","4-Aminopyridine",1,0,0.109,"nitrogen compounds","30"
"25863","588/24","G321/23","3","4-Aminopyridine",1,0,0.102,"nitrogen compounds","30"
"25864","588/24","G321/23","3","4-Aminopyridine",1,72,0.162,"nitrogen compounds","30"
"25865","617/24","G323/23","2","4-Aminopyridine",1,0,0.102,"nitrogen compounds","30"
